ID,AmountRain,StrongWindDir,StrongWindSpeed,MorningWindDir,AfternoonWindDir,AfternoonWindSpeed,MorningHumidity,AfternoonHumidity,MorningTemp,AfternoonTemp,DidRainToday,DaysSinceNewYear,TomorrowRainForecast
5683,0.0,WSW,43.0,N,SW,17.0,82.0,51.0,15.4,20.8,No,268,0
2971,0.0,E,15.0,,SE,7.0,91.0,63.0,9.7,16.6,No,136,0
3560,0.0,S,33.0,WSW,WSW,17.0,58.0,38.0,10.9,15.9,No,217,0
2304,10.0,NE,30.0,S,SSE,11.0,96.0,93.0,4.7,6.4,Yes,195,1
3573,0.0,WSW,48.0,,SW,26.0,59.0,40.0,11.5,15.9,No,232,0
6098,0.8,W,46.0,W,W,24.0,84.0,57.0,8.8,12.9,No,159,0
3984,0.0,E,41.0,N,E,22.0,73.0,43.0,18.9,24.8,No,314,0
4072,0.6,E,24.0,SW,E,9.0,83.0,68.0,20.4,22.5,No,38,0
3214,0.2,ENE,15.0,SW,NE,7.0,99.0,39.0,5.5,16.7,No,205,0
1427,0.0,W,37.0,W,W,24.0,42.0,32.0,23.2,26.0,No,11,0
1153,0.0,NW,24.0,S,WNW,11.0,82.0,46.0,16.7,26.0,No,71,0
6833,0.0,ESE,31.0,ESE,E,17.0,70.0,42.0,4.6,13.6,No,195,1
5848,0.0,NNE,28.0,NNE,NNE,15.0,100.0,,18.8,28.3,No,85,0
6643,0.0,NE,43.0,NE,NE,17.0,75.0,63.0,23.2,26.7,No,340,1
1128,0.4,SE,30.0,ENE,SSE,13.0,83.0,63.0,18.4,23.6,No,46,0
1695,0.0,W,48.0,ESE,N,30.0,62.0,23.0,22.3,30.0,No,311,0
3928,0.0,WSW,43.0,NNE,WSW,26.0,48.0,20.0,16.4,24.8,No,256,0
4727,1.0,NE,33.0,W,NNE,11.0,62.0,38.0,19.8,28.4,No,26,0
5240,0.0,SE,9.0,,NE,2.0,100.0,38.0,1.6,15.3,No,184,0
3633,0.0,NW,44.0,WSW,N,24.0,81.0,53.0,17.6,24.2,No,294,1
1743,0.0,SW,52.0,ESE,NNE,11.0,61.0,28.0,22.4,29.8,No,359,1
2951,0.2,SW,31.0,E,SW,17.0,71.0,41.0,9.6,16.2,No,116,0
5548,0.0,SW,28.0,N,SW,15.0,68.0,37.0,17.2,25.0,No,133,0
1885,0.0,E,11.0,,ENE,7.0,87.0,66.0,12.9,19.2,No,136,0
353,10.6,NE,37.0,NE,SSE,9.0,95.0,91.0,19.7,20.8,Yes,324,1
3283,0.0,ENE,31.0,SW,ESE,20.0,68.0,72.0,17.9,18.0,No,274,1
1843,16.8,SSE,30.0,S,SSE,9.0,100.0,67.0,16.0,21.3,Yes,94,0
3613,0.0,ENE,24.0,WSW,NE,13.0,70.0,57.0,12.4,17.0,No,273,0
6743,0.0,SSE,30.0,SSE,S,11.0,49.0,30.0,23.4,27.0,No,75,0
2711,0.2,SW,41.0,NNE,WSW,26.0,97.0,52.0,7.7,12.5,No,237,0
1377,0.0,ESE,24.0,SE,SE,11.0,64.0,41.0,10.6,19.8,No,296,0
1057,0.0,W,28.0,NNE,SSW,13.0,49.0,38.0,18.3,25.2,No,340,0
4959,0.0,E,28.0,S,NE,11.0,73.0,34.0,15.0,22.7,No,265,0
815,0.0,SE,30.0,SSE,E,13.0,58.0,30.0,15.6,24.9,No,63,0
2135,0.0,SE,43.0,SE,SW,9.0,56.0,42.0,19.3,27.1,No,26,0
4554,0.0,WSW,37.0,,WSW,22.0,62.0,40.0,13.1,17.3,No,215,0
5384,0.0,NNE,39.0,NE,NNE,11.0,65.0,24.0,23.5,35.6,No,334,0
312,0.0,W,48.0,SE,NNE,17.0,68.0,50.0,11.3,18.2,No,283,0
6298,6.6,SSW,33.0,E,SSW,9.0,93.0,71.0,22.0,28.1,Yes,360,0
193,0.0,ENE,28.0,E,NE,15.0,86.0,60.0,5.9,12.1,No,163,0
3075,0.0,E,35.0,SW,NE,9.0,76.0,39.0,14.8,24.2,No,64,0
6105,0.6,S,20.0,SSE,SSE,9.0,91.0,39.0,9.9,16.6,No,166,0
652,0.0,W,28.0,,W,17.0,76.0,52.0,12.1,19.1,No,265,0
714,0.0,N,35.0,NNE,NNE,11.0,46.0,31.0,24.0,29.5,No,327,0
6466,0.0,S,20.0,S,SE,9.0,79.0,34.0,6.2,14.3,No,163,0
6427,2.8,SW,44.0,SSW,SSW,19.0,57.0,32.0,13.1,16.9,Yes,124,0
6399,10.2,NW,44.0,N,NW,15.0,89.0,66.0,20.7,28.0,Yes,96,1
3913,0.0,ESE,26.0,WSW,E,15.0,83.0,64.0,14.2,17.4,No,241,0
